raw_comp_writers_text,CLEAN_TEXT,normalized_text
Pablo Milanés,Pablo Milanés,Pablo Milanés
Tiê/Rita Wainer/André Whoong/Adriano Cintra/Giuseppe Anastasi/Érico Theobaldo,Tiê/Rita Wainer/André Whoong/Adriano Cintra/Giuseppe Anastasi/Érico Theobaldo,Tiê/Rita Wainer/André Whoong/Adriano Cintra/Giuseppe Anastasi/Érico Theobaldo
Helena Hauff,Helena Hauff,Helena Hauff
Akhenaton/A Day A Dream,Akhenaton,Akhenaton/A Day A Dream
Bryan Wells/Ron Miller,Bryan Wells/Ron Miller,Bryan Wells/Ron Miller
Max Cameron Concors,Max Cameron Concors,Max Cameron Concors
Christopher Walter Mackenzie/John Andrew Poirier/William Leslie Farrant/Anand Vimal Greenwell/Neil James Cooke-Dallin/Robert Piers Henwood/Michelle Leus,Christopher Walter Mackenzie/John Andrew Poirier/William Leslie Farrant/Anand Vimal Greenwell/Neil James Cooke-Dallin/Robert Piers Henwood/Michelle Leus,Christopher Walter Mackenzie/John Andrew Poirier/William Leslie Farrant/Anand Vimal Greenwell/Neil James Cooke-Dallin/Robert Piers Henwood/Michelle Leus
Jung Sik Kong,Jung Sik Kong,Jung Sik Kong
Michael Hoenig,Michael Hoenig,Michael Hoenig
0,,
Darren Malic Carr,Darren Malic Carr,Darren Malic Carr
BOSTROM FREDRIK HAKAN/OBERG ANDREAS GUSTAV ERIK/ZERO YVES & ADAMS,ZERO YVES & ADAMS,BOSTROM FREDRIK HAKAN/OBERG ANDREAS GUSTAV ERIK/ZERO YVES/ADAMS
Jan Peter Aaberg/Ronny Aake Johansson,Jan Peter Aaberg/Ronny Aake Johansson,Jan Peter Aaberg/Ronny Aake Johansson
Sinch/Jamie Stem,Sinch/Jamie Stem,Sinch/Jamie Stem
Ruedi Rymann/Copyright Control,Ruedi Rymann,Ruedi Rymann
Revan,Revan,Revan
Hadaiyah Bey/Copyright Control,Hadaiyah Bey,Hadaiyah Bey
MCSB Team/Copyright Control,MCSB Team,MCSB Team
Baps Swaminarayan Sanstha,Baps Swaminarayan Sanstha,Baps Swaminarayan Sanstha
zts,zts,zts
Ken/혁/IVeR/RAVI,Ken/RAVI,Ken/IVeR/RAVI
Liam Barcelo,Liam Barcelo,Liam Barcelo
Dennis Waakop Reijers/Tijs Verwest/Dave Parkinson/Dino Lenny,Dennis Waakop Reijers/Tijs Verwest/Dave Parkinson/Dino Lenny,Dennis Waakop Reijers/Tijs Verwest/Dave Parkinson/Dino Lenny
Martin Landsky/Ed. Starbug/Rückbank,Martin Landsky/Ed. Starbug/Rückbank,Martin Landsky/Ed. Starbug/Rückbank
Irma Pany,Irma Pany,Irma Pany
Miyuki Oka/Kenji Miyashita,Miyuki Oka/Kenji Miyashita,Miyuki Oka/Kenji Miyashita
Pixouu/Abdou Gambetta/Copyright Control,Pixouu/Abdou Gambetta,Pixouu/Abdou Gambetta
Dai Matsuda,Dai Matsuda,Dai Matsuda
João Só/Ricardo Ferreira,João Só/Ricardo Ferreira,João Só/Ricardo Ferreira
Söz: Sezen Cumhur Önal,Söz: Sezen Cumhur Önal,Söz: Sezen Cumhur Önal
"<Unknown>/Fulgencio, Cuauhtemoc Mito",Fulgencio/Cuauhtemoc Mito,Fulgencio/Cuauhtemoc Mito
"Tom Lee Bardwell Jr, Oliver Larsson & Ian Viitala Jacobsen",Tom Lee Bardwell Jr/Oliver Larsson/Ian Viitala Jacobsen,Tom Lee Bardwell Jr/Oliver Larsson/Ian Viitala Jacobsen
Danny Wong,Danny Wong,Danny Wong
Shamir/Nick Sylvester,Shamir/Nick Sylvester,Shamir/Nick Sylvester
John James Iadevaio & Timothy William Curtin,John James Iadevaio/Timothy William Curtin,John James Iadevaio/Timothy William Curtin
"Tee Grizzley,Skilla Baby,JT,Yung Miami",Tee Grizzley/Skilla Baby/JT/Yung Miami,Tee Grizzley/Skilla Baby/JT/Yung Miami
Sasha Sharipov,Sasha Sharipov,Sasha Sharipov
Benito Rodriguez,Benito Rodriguez,Benito Rodriguez
Gaetano Donizetti,Gaetano Donizetti,Gaetano Donizetti
CA CROSBY MARTIN/CA DEWS ELLIS D JR/CA MARCH SHARRON L/CA MORRIS ALAN COREY/PA JUDGE & JURY PRODUCTIONS,CROSBY MARTIN/DEWS ELLIS D JR/MARCH SHARRON L/MORRIS ALAN COREY/ JUDGE /JURY PRODUCTIONS,CA CROSBY MARTIN/CA DEWS ELLIS D JR/CA MARCH SHARRON L/CA MORRIS ALAN COREY/PA JUDGE/JURY PRODUCTIONS
Jimmy Lewis,Jimmy Lewis,Jimmy Lewis
Satoshi Iwamizu,Satoshi Iwamizu,Satoshi Iwamizu
"Milly Quezada,Antony Santos",Milly Quezada/Antony Santos,Milly Quezada/Antony Santos
Chitsanupong Lex,Chitsanupong Lex,Chitsanupong Lex
Richard Wagner,Richard Wagner,Richard Wagner
Ba San Yao A Pu,Ba San Yao A Pu,Ba San Yao A Pu
BASEMINT/Yasushi Akimoto,BASEMINT/Yasushi Akimoto,BASEMINT/Yasushi Akimoto
Dmitriy Malikov,Dmitriy Malikov,Dmitriy Malikov
"RADO,RADO,RADO,JEON GOON,RADO,FLYT,FLYT,JEON GOON",/ / JEON GOON /FLYT JEON GOON,RADO/RADO/RADO/JEON GOON/RADO/FLYT/FLYT/JEON GOON
Кулаков Олег,,
"Tee Grizzley,Skilla Baby,Chopsquad DJ",Tee Grizzley/Skilla Baby/Chopsquad DJ,Tee Grizzley/Skilla Baby/Chopsquad DJ
Kirill Ruslanovich Timoshenko,Kirill Ruslanovich Timoshenko,Kirill Ruslanovich Timoshenko
Amanda Fagan/Grace Thygeson,Amanda Fagan/Grace Thygeson,Amanda Fagan/Grace Thygeson
Lucien Deiss/María Pilar de la Figuera López,Lucien Deiss,Lucien Deiss/María Pilar de la Figuera López
"Sinead Harnett, Kathleen Brien & Ross, James",Sinead Harnett/Kathleen Brien/Ross/James,Sinead Harnett/Kathleen Brien/Ross/James
鈴木研一/和嶋慎治,,
ISIAH M FIELDS & candace turner,ISIAH M FIELDS/candace turner,ISIAH M FIELDS/candace turner
Fernando Borrego Linares,Fernando Borrego Linares,Fernando Borrego Linares
John Easdale,John Easdale,John Easdale
Bishop/Nowels/Joyce/Shirakbari,Bishop/Nowels/Joyce/Shirakbari,Bishop/Nowels/Joyce/Shirakbari
"Songs of Universal, INC",,Songs of Universal/INC
Tati Zaqui/Negro Dub/C.R.O,Tati Zaqui/Negro Dub/C.R.O,Tati Zaqui/Negro Dub/C.R.O
"<Unknown>/Roth, Andrew",Roth/Andrew,Roth/Andrew
Back on Track Records,,Back on Track Records
Cam’ron,Cam’ron,Cam’ron
Jessie Clay,Jessie Clay,Jessie Clay
Salomon Salil Lira,Salomon Salil Lira,Salomon Salil Lira
Hoagy Carmichael/Stuart Gorrell,Hoagy Carmichael/Stuart Gorrell,Hoagy Carmichael/Stuart Gorrell
Pritam/Javed Akhtar,Pritam/Javed Akhtar,Pritam/Javed Akhtar
Julius James de Belen/Kio Priest,Julius James de Belen,Julius James de Belen/Kio Priest
Álvaro Carillo,Álvaro Carillo,Álvaro Carillo
Tony Grace/Rob DeBoer,Tony Grace/Rob DeBoer,Tony Grace/Rob DeBoer
Ольга Пулатова,,
UNKNOWN WRITER,,
,,
Tia Sillers/Mark D. Sanders,Tia Sillers/Mark D. Sanders,Tia Sillers/Mark D. Sanders
Chris Aylmer/Paul Samson/Bruce Dickinson/Thunderstick,Chris Aylmer/Paul Samson/Bruce Dickinson/Thunderstick,Chris Aylmer/Paul Samson/Bruce Dickinson/Thunderstick
Charlie Puth/Jacob Kasher,Charlie Puth/Jacob Kasher,Charlie Puth/Jacob Kasher
"The Alchemist,Curren$y",The Alchemist/Curren$y,The Alchemist/Curren$y
Nikolay Kirimeli,Nikolay Kirimeli,Nikolay Kirimeli
Stephan Remmler/Gert Krawinkel,,Stephan Remmler/Gert Krawinkel
Henry Desmarest,Henry Desmarest,Henry Desmarest
Gwenifer Raymond,Gwenifer Raymond,Gwenifer Raymond
"MUSIKVERLAG HANS SIKORSKI (GMBH & CO.)/PAERT, ARVO/obo GEMA",PAERT/ARVO,MUSIKVERLAG HANS SIKORSKI (GMBH/CO.)/PAERT/ARVO/obo GEMA
Lui Melendez & Reynaldo Hernandez,Lui Melendez/Reynaldo Hernandez,Lui Melendez/Reynaldo Hernandez
A. Pastora/F. Galindo,A. Pastora/F. Galindo,A. Pastora/F. Galindo
"Tiakola,Bné (FRA),HK La Paille,Djens",Tiakola/Bné (FRA)/HK La Paille/Djens,Tiakola/Bné/HK La Paille/Djens
Batakrishna Dey/Sudhin Dasgupta,Batakrishna Dey/Sudhin Dasgupta,Batakrishna Dey/Sudhin Dasgupta
Fred Gaisberg/Frédéric Chopin,Fred Gaisberg/Frédéric Chopin,Fred Gaisberg/Frédéric Chopin
Jaeden Roseborough & PYRXCITER,Jaeden Roseborough/PYRXCITER,Jaeden Roseborough/PYRXCITER
Nova Rockafeller,Nova Rockafeller,Nova Rockafeller
John Cannon,John Cannon,John Cannon
"<Unknown>/Kearney, Daniel Bernard",,Kearney/Daniel Bernard
"<Unknown>/Smiley, Billy",Smiley/Billy,Smiley/Billy
Карпов Ярослав Максимович,,
Prince Sole,Prince Sole,Prince Sole
Thomas Martijn Bard/Lorena Wolf/Myrte Driesenaar,Thomas Martijn Bard/Lorena Wolf/Myrte Driesenaar,Thomas Martijn Bard/Lorena Wolf/Myrte Driesenaar
Billie Ray Fingers/Dylan Thomas Price/Bruce Fingers,Billie Ray Fingers/Dylan Thomas Price/Bruce Fingers,Billie Ray Fingers/Dylan Thomas Price/Bruce Fingers
Brad Roberts,Brad Roberts,Brad Roberts
Claude Debussy,Claude Debussy,Claude Debussy
Gurvan Nantel/Amir Haddad/Assaf Tzrouya,Gurvan Nantel/Amir Haddad,Gurvan Nantel/Amir Haddad/Assaf Tzrouya
Baby Ru,Baby Ru,Baby Ru
Justin Hayward,Justin Hayward,Justin Hayward
Abshari Afghani,Abshari Afghani,Abshari Afghani
Victor Ortiz/Mike Marsicano,Victor Ortiz/Mike Marsicano,Victor Ortiz/Mike Marsicano
Kodak Black,Kodak Black,Kodak Black
Casey Hizer,Casey Hizer,Casey Hizer
"<Unknown>/Trent, Jonathan",Trent/Jonathan,Trent/Jonathan
Dagirov Dagir,Dagirov Dagir,Dagirov Dagir
Emory Gordy/Dennis Linde,Emory Gordy/Dennis Linde,Emory Gordy/Dennis Linde
Johnnie Guilber/Zakk Cash/Julian Comeau,Johnnie Guilber/Zakk Cash/Julian Comeau,Johnnie Guilber/Zakk Cash/Julian Comeau
Q luv,Q luv,Q luv
"MIKE (USA),Sideshow,The Alchemist",MIKE/Sideshow/The Alchemist,MIKE/Sideshow/The Alchemist
Nacho Cano,Nacho Cano,Nacho Cano
Earl Klugh/Bob James,Earl Klugh/Bob James,Earl Klugh/Bob James
Dan Hylander,Dan Hylander,Dan Hylander
امجد حمزه & هدي عربي,,
Jesús María Corman/Mikel Erentxun,,Jesús María Corman/Mikel Erentxun
Timoy Jones & Yanique Barrett,Timoy Jones/Yanique Barrett,Timoy Jones/Yanique Barrett
DOMINIO PUBLICO/HARRIOT C/HOPKINSON SIMON RICHARD,,DOMINIO PUBLICO/HARRIOT C/HOPKINSON SIMON RICHARD
Akira Ifukube,Akira Ifukube,Akira Ifukube
Ini Kamoze/Sly Dunbar/Robbie Shakespeare,Ini Kamoze/Sly Dunbar/Robbie Shakespeare,Ini Kamoze/Sly Dunbar/Robbie Shakespeare
Phạm Đăng Khương,Phạm Đăng Khương,Phạm Đăng Khương
Robert Din Barbulesti,Robert Din Barbulesti,Robert Din Barbulesti
Yeasin Hossain Neru & Mehedi Hasan Limon,Yeasin Hossain Neru/Mehedi Hasan Limon,Yeasin Hossain Neru/Mehedi Hasan Limon
Irshad Kamil/Vishal-Shekhar,Irshad Kamil/Vishal-Shekhar,Irshad Kamil/Vishal-Shekhar
Tyvel Dixon,Tyvel Dixon,Tyvel Dixon
Anonymous,Anonymous,Anonymous
Steve Miller,Steve Miller,Steve Miller
"RMC Mike,Young King,GrindHard E,Rio Da Yung OG",RMC Mike/Young King/GrindHard E/Rio Da Yung OG,RMC Mike/Young King/GrindHard E/Rio Da Yung OG
Tim Rice/John Cameron/Nigel Wright/Andrew Lloyd Webber,Tim Rice/John Cameron/Nigel Wright/Andrew Lloyd Webber,Tim Rice/John Cameron/Nigel Wright/Andrew Lloyd Webber
Avraham Fried & Various Composers,Avraham Fried/ Various Composers,Avraham Fried/Various Composers
Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan,Sameer/Nadeem-Shravan
Joe Brook,Joe Brook,Joe Brook
Billie Ray Fingers/Bruce Fingers/Andrew James Christie,Billie Ray Fingers/Bruce Fingers/Andrew James Christie,Billie Ray Fingers/Bruce Fingers/Andrew James Christie
JEFFREY ETHAN CAMPBELL/ WRITER UNKNOWN,JEFFREY ETHAN CAMPBELL,JEFFREY ETHAN CAMPBELL
Future/Southside,Future/Southside,Future/Southside
Eric Xavier claros,Eric Xavier claros,Eric Xavier claros
Nik Hamedi ,,Nik Hamedi
A GILMORE ROBERT B ROB/CA PLOEGMAKERS MARTINUS A THIJS/PA ADARO & ROB GEE,GILMORE/ROBERT/B/ROB/C/PLOEGMAKERS/MARTINUS/THIJS/P/ADARO/&/ROB/GEE,A GILMORE ROBERT B ROB/CA PLOEGMAKERS MARTINUS A THIJS/PA ADARO/ROB GEE
Isaac Hall,Isaac Hall,Isaac Hall
"<Unknown>/Malloy, Mitch Harry",Malloy/Mitch Harry,Malloy/Mitch Harry
CA MAZUR FABIAN/PA FABIAN MAZUR & UNKWN,FABIAN MAZUR,CA MAZUR FABIAN/PA FABIAN MAZUR/UNKWN
Peach Weber/Victor Pelli,Peach Weber/Victor Pelli,Peach Weber/Victor Pelli
Edson Zuñiga,Edson Zuñiga,Edson Zuñiga
Ronnie Wilkins/John Hurley,Ronnie Wilkins/John Hurley,Ronnie Wilkins/John Hurley
StanWill,StanWill,StanWill
Curtis Mayfield/Dino Fekaris,Curtis Mayfield/Dino Fekaris,Curtis Mayfield/Dino Fekaris
CA JACOBSEN BIBBI/CA JACOBSEN STEFFEN/CA JOERGENSEN HENRIK SKRIVER/PA BIBBI & SNIF,JACOBSEN/BIBBI/JACOBSEN/STEFFEN/JOERGENSEN/HENRIK/SKRIVER/PA/BIBBI/&/SNIF,CA JACOBSEN BIBBI/CA JACOBSEN STEFFEN/CA JOERGENSEN HENRIK SKRIVER/PA BIBBI/SNIF
"<Unknown>/Tuvman, Paul",Tuvman/Paul,Tuvman/Paul
Nellie McKay,Nellie McKay,Nellie McKay
孫偉明/潘偉源,,
"Chip Whitesides, Jason Beam, James Ford, Brad Sellers & Kelly Wallace",Chip Whitesides/Jason Beam/James Ford/Brad Sellers/ Kelly Wallace,Chip Whitesides/Jason Beam/James Ford/Brad Sellers/Kelly Wallace
김우근,,
藤江潤士,,
Victor Daniel Federico Guerrero Espinoza & Dante Edu Espinosa Sanchez,Victor Daniel Federico Guerrero Espinoza/Dante Edu Espinosa Sanchez,Victor Daniel Federico Guerrero Espinoza/Dante Edu Espinosa Sanchez
Salaam Remi/Jazmine Sullivan,Salaam Remi/Jazmine Sullivan,Salaam Remi/Jazmine Sullivan
Curren$y,Curren$y,Curren$y
Jobete Music Co Inc,Jobete Music Co Inc,Jobete Music Co Inc
Dewayne Dabney,Dewayne Dabney,Dewayne Dabney
Nestor Daniel Hoyer,Nestor Daniel Hoyer,Nestor Daniel Hoyer
Pete Nappi/Jon Bellion/Jimmie Gutch/Gregory Aldae Hein/Leigh-Anne Pinnock/Jonathan David Bellion,Pete Nappi/Jon Bellion/Jimmie Gutch/Aldae Hein/Leigh-Anne Pinnock,Pete Nappi/Jon Bellion/Jimmie Gutch/Gregory Aldae Hein/Leigh-Anne Pinnock/Jonathan David Bellion
Antonio Vivaldi,Antonio Vivaldi,Antonio Vivaldi
Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky,Pyotr Ilyich Tchaikovsky
"BabyTron,Michigan Meech",BabyTron/Michigan Meech,BabyTron/Michigan Meech
"Jason Kay, Toby Smith, Stuart Zender, Simon Katz & Wallis Buchanan",Jason Kay/Toby Smith/Stuart Zender/Simon Katz,Jason Kay/Toby Smith/Stuart Zender/Simon Katz/Wallis Buchanan
屠穎/林大方/黃韻玲/Ming Huang Yang,Ming Huang Yang,Ming Huang Yang
SayWeCanFly,SayWeCanFly,SayWeCanFly
Mbosso,Mbosso,Mbosso
"<Unknown>/Lawrence, Omari Abiola",Lawrence/Omari Abiola,Lawrence/Omari Abiola
Josquin Des Prez,Josquin Des Prez,Josquin Des Prez
Jesper Kyd,Jesper Kyd,Jesper Kyd
Sado Khan & Ayan Kakar,Sado Khan/Ayan Kakar,Sado Khan/Ayan Kakar
Richard Bock/Charlie Parker/Michael Cuscuna,Richard Bock/Charlie Parker/Michael Cuscuna,Richard Bock/Charlie Parker/Michael Cuscuna
Justin McDonald,Justin McDonald,Justin McDonald
Roger Waters/David Gilmour,Roger Waters/David Gilmour,Roger Waters/David Gilmour
Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne,Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne,Colson Baker/Derek “MOD SUN” Smith/John Feldmann/Avril Lavigne
Cathrine Legardh/Eddie DeLange/Louis Alter,Cathrine Legardh/Eddie DeLange/Louis Alter,Cathrine Legardh/Eddie DeLange/Louis Alter
Alfredo Lopez,Alfredo Lopez,Alfredo Lopez
VCPMC,,VCPMC
Sybersound/Queen Liliʻuokalani,Queen Liliʻuokalani,Sybersound/Queen Liliʻuokalani
Tasuku Kashiwagi,Tasuku Kashiwagi,Tasuku Kashiwagi
"Alexis (PR),Fido,De La Ghetto,Arcángel",Alexis (PR)/Fido/De La Ghetto/Arcángel,Alexis/Fido/De La Ghetto/Arcángel
Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf,Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf,Joachim Wolf/Achim Radloff/Beatrice Egli/Joachim Hans Wolf
Daniel Kim (김다니엘),Daniel Kim,Daniel Kim
Kala Sangam,Kala Sangam,Kala Sangam
Marcus D,Marcus D,Marcus D
Avi Rosenfeld,Avi Rosenfeld,Avi Rosenfeld
Dave Mustaine,Dave Mustaine,Dave Mustaine
The Toy Hearts/Copyright Control,The Toy Hearts,The Toy Hearts
"<Unknown>/Rodriguez, Jeremy William",Rodriguez/Jeremy William,Rodriguez/Jeremy William
Traditional/Public Domain,,
Mansij Madaan,Mansij Madaan,Mansij Madaan
Copyright Control/Gabriel Prokofiev,Gabriel Prokofiev,Gabriel Prokofiev
AFPI,,AFPI
James Joshua Otto,James Joshua Otto,James Joshua Otto
Robin Ogden,Robin Ogden,Robin Ogden
Gaio Chiocchio/Gilles Péram/Riccardo Cocciante,Gaio Chiocchio/Gilles Péram/Riccardo Cocciante,Gaio Chiocchio/Gilles Péram/Riccardo Cocciante
Hanawa,Hanawa,Hanawa
Ramon Claudiu Pal & Ionut Bejinariu,Ramon Claudiu Pal/Ionut Bejinariu,Ramon Claudiu Pal/Ionut Bejinariu
Nicolás Urquiza,Nicolás Urquiza,Nicolás Urquiza
Harry Beckett,Harry Beckett,Harry Beckett
Johannes Brahms/Wilhelm Hellweg,Johannes Brahms/Wilhelm Hellweg,Johannes Brahms/Wilhelm Hellweg
Joe Schmoe/Eric Hadley,,Joe Schmoe/Eric Hadley
Gerald Gillum/Christoph Andersson,Gerald Gillum/Christoph Andersson,Gerald Gillum/Christoph Andersson
Jesse Colin Young,Jesse Colin Young,Jesse Colin Young
Harmonize,Harmonize,Harmonize
Whobody Publishing,,Whobody Publishing
